ssssffff
sffff
¦r¬q2,¦r¬q1,¦r¬q3,¦r¬q4,¦r¬q5,¦r¬q6,‹ï­±??
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          42476.80
        ","
          42201.03
        ","
          04/10 00:54:51
        ","
          04/11 08:01:38
        ","
          3.23%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (5X) 
            °µªÅ
          ","
          3222.95
        ","
          3205.90
        ","
          04/09 23:17:01
        ","
          04/11 08:01:38
        ","
          2.64%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (5X) 
            °µªÅ
          ","
          3206.75
        ","
          3205.90
        ","
          04/09 20:22:55
        ","
          04/11 08:01:38
        ","
          0.13%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          42792.53
        ","
          42745.46
        ","
          04/10 20:06:47
        ","
          04/10 23:03:43
        ","
          0.54%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          42500.91
        ","
          42442.19
        ","
          04/09 13:45:23
        ","
          04/10 00:28:00
        ","
          0.69%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          42500.25
        ","
          42477.51
        ","
          04/09 13:45:19
        ","
          04/09 20:48:02
        ","
          0.26%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (5X) 
            °µ¦h
          ","
          3270.06
        ","
          3217.34
        ","
          04/08 22:45:28
        ","
          04/09 13:44:48
        ","
          -8.06%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (5X) 
            °µ¦h
          ","
          3272.71
        ","
          3217.47
        ","
          04/08 22:48:21
        ","
          04/09 13:43:33
        ","
          -8.43%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µ¦h
          ","
          42442.24
        ","
          42181.14
        ","
          04/09 09:11:01
        ","
          04/09 11:04:15
        ","
          -3.07%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          43530.85
        ","
          43522.14
        ","
          04/08 18:05:04
        ","
          04/08 22:33:31
        ","
          0.10%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          43557.64
        ","
          43627.24
        ","
          04/08 18:03:07
        ","
          04/08 22:32:25
        ","
          -0.79%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          43527.04
        ","
          43522.10
        ","
          04/08 09:30:52
        ","
          04/08 12:51:01
        ","
          0.05%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          43601.68
        ","
          43531.54
        ","
          04/08 10:06:38
        ","
          04/08 12:50:53
        ","
          0.80%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.0723
        ","
          16.2330
        ","
          04/07 00:08:01
        ","
          04/07 01:42:06
        ","
          5.00%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3342.96
        ","
          3262.75
        ","
          04/06 12:11:21
        ","
          04/06 23:50:33
        ","
          47.98%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3335.10
        ","
          3262.75
        ","
          04/06 12:10:20
        ","
          04/06 23:50:33
        ","
          43.38%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3335.27
        ","
          3262.75
        ","
          04/06 12:10:16
        ","
          04/06 23:50:33
        ","
          43.48%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3327.72
        ","
          3221.00
        ","
          04/06 18:13:41
        ","
          04/06 23:32:50
        ","
          64.14%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          17.3710
        ","
          17.4837
        ","
          04/05 11:25:13
        ","
          04/05 11:39:20
        ","
          6.47%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          17.3646
        ","
          17.4837
        ","
          04/05 11:25:09
        ","
          04/05 11:39:20
        ","
          6.85%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µ¦h
          ","
          3493.69
        ","
          3474.92
        ","
          04/04 11:57:55
        ","
          04/04 21:48:12
        ","
          -10.74%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µ¦h
          ","
          3493.69
        ","
          3482.83
        ","
          04/04 11:57:55
        ","
          04/04 21:46:32
        ","
          -6.21%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µ¦h
          ","
          46051.27
        ","
          46065.05
        ","
          04/03 08:53:48
        ","
          04/03 09:00:39
        ","
          0.13%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (3X) 
            °µªÅ
          ","
          3509.39
        ","
          3463.06
        ","
          04/02 08:53:10
        ","
          04/03 08:58:32
        ","
          3.96%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µ¦h
          ","
          46624.87
        ","
          46558.24
        ","
          03/31 22:46:59
        ","
          04/01 23:15:13
        ","
          -0.71%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            CHR/USDT
            (3X) 
            °µ¦h
          ","
          0.524868
        ","
          0.522392
        ","
          04/01 00:17:25
        ","
          04/01 07:30:12
        ","
          -1.41%
        ",Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
,,,,,,Joma Tech ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
¥æ©ö«~ºØ,¶}­Ü»ù,¥­­Ü»ù,¶}­Ü®É¶¡,¥­­Ü®É¶¡,¦¬¯q²v,Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          42712.94
        ","
          42274.63
        ","
          04/21 21:50:01
        ","
          04/21 23:43:52
        ","
          5.13%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          41912.73
        ","
          42331.85
        ","
          04/21 16:38:14
        ","
          04/21 18:19:35
        ","
          -20.00%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          41886.74
        ","
          42305.60
        ","
          04/21 16:32:24
        ","
          04/21 18:19:32
        ","
          -20.00%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          41463.35
        ","
          41920.83
        ","
          04/21 14:04:45
        ","
          04/21 15:58:08
        ","
          -22.06%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          41398.40
        ","
          41812.38
        ","
          04/21 07:49:26
        ","
          04/21 15:57:19
        ","
          -20.00%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            MATIC/USDT
            (3X) 
            °µ¦h
          ","
          1.440975
        ","
          1.442475
        ","
          04/20 14:29:20
        ","
          04/20 21:36:31
        ","
          0.31%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (3X) 
            °µ¦h
          ","
          17.1621
        ","
          17.1672
        ","
          04/20 11:06:58
        ","
          04/20 20:10:17
        ","
          0.08%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (3X) 
            °µ¦h
          ","
          17.0065
        ","
          17.3723
        ","
          04/20 11:53:37
        ","
          04/20 19:39:57
        ","
          6.45%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (5X) 
            °µ¦h
          ","
          3087.82
        ","
          3132.83
        ","
          04/20 11:50:02
        ","
          04/20 19:39:52
        ","
          7.28%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (10X) 
            °µ¦h
          ","
          40776.78
        ","
          40999.41
        ","
          04/19 12:31:21
        ","
          04/19 20:40:45
        ","
          5.45%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          40735.06
        ","
          41011.72
        ","
          04/19 12:12:52
        ","
          04/19 20:35:51
        ","
          13.58%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          2938.70
        ","
          2921.93
        ","
          04/18 20:21:24
        ","
          04/18 21:56:14
        ","
          11.41%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          2934.20
        ","
          2921.93
        ","
          04/18 20:18:20
        ","
          04/18 21:56:14
        ","
          8.36%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          39015.50
        ","
          38949.26
        ","
          04/18 14:47:47
        ","
          04/18 15:36:43
        ","
          3.39%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            SOL/USDT
            (5X) 
            °µ¦h
          ","
          95.7774
        ","
          97.6765
        ","
          04/18 13:01:35
        ","
          04/18 14:40:36
        ","
          9.91%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          38868.04
        ","
          38925.74
        ","
          04/18 12:28:00
        ","
          04/18 13:28:29
        ","
          2.96%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (10X) 
            °µ¦h
          ","
          2915.08
        ","
          2921.02
        ","
          04/18 12:35:56
        ","
          04/18 13:22:39
        ","
          2.03%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µ¦h
          ","
          2981.66
        ","
          2992.61
        ","
          04/18 08:07:38
        ","
          04/18 08:14:49
        ","
          7.34%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (3X) 
            °µ¦h
          ","
          15.8738
        ","
          15.5964
        ","
          04/18 07:10:37
        ","
          04/18 08:12:23
        ","
          -5.24%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (3X) 
            °µ¦h
          ","
          15.8750
        ","
          15.5327
        ","
          04/18 07:10:34
        ","
          04/18 08:12:09
        ","
          -6.46%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (3X) 
            °µ¦h
          ","
          15.6655
        ","
          15.5417
        ","
          04/18 07:41:05
        ","
          04/18 08:12:03
        ","
          -2.37%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          40435.97
        ","
          39867.25
        ","
          04/15 23:20:18
        ","
          04/18 07:09:32
        ","
          7.03%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          40111.06
        ","
          39867.25
        ","
          04/15 22:20:38
        ","
          04/18 07:09:32
        ","
          3.03%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (5X) 
            °µªÅ
          ","
          40111.41
        ","
          39867.25
        ","
          04/15 22:13:42
        ","
          04/18 07:09:32
        ","
          3.04%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          40349.92
        ","
          40047.29
        ","
          04/17 22:14:58
        ","
          04/18 02:07:40
        ","
          15.00%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          40339.61
        ","
          40057.23
        ","
          04/17 22:10:51
        ","
          04/18 02:07:36
        ","
          14.00%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          40332.99
        ","
          40070.82
        ","
          04/17 22:09:47
        ","
          04/18 01:57:46
        ","
          13.00%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          40164.28
        ","
          40523.71
        ","
          04/17 10:55:35
        ","
          04/17 21:43:32
        ","
          -17.89%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µªÅ
          ","
          40164.53
        ","
          40524.78
        ","
          04/17 11:01:55
        ","
          04/17 21:43:29
        ","
          -17.93%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          40380.24
        ","
          40179.02
        ","
          04/17 09:08:02
        ","
          04/17 10:49:10
        ","
          -9.95%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3099.38
        ","
          3029.35
        ","
          04/14 00:05:46
        ","
          04/15 08:10:56
        ","
          45.18%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3099.59
        ","
          2976.87
        ","
          04/14 00:05:49
        ","
          04/15 03:01:58
        ","
          79.17%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3100.04
        ","
          2977.35
        ","
          04/14 00:05:39
        ","
          04/15 03:01:57
        ","
          79.14%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3100.00
        ","
          2977.31
        ","
          04/14 00:06:24
        ","
          04/15 03:01:57
        ","
          79.14%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3100.85
        ","
          2977.94
        ","
          04/14 00:06:09
        ","
          04/15 03:01:41
        ","
          79.27%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3100.69
        ","
          2977.97
        ","
          04/14 00:05:54
        ","
          04/15 03:01:41
        ","
          79.14%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3100.85
        ","
          2977.97
        ","
          04/14 00:06:13
        ","
          04/15 03:01:41
        ","
          79.25%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3100.70
        ","
          2978.06
        ","
          04/14 00:06:05
        ","
          04/15 03:01:41
        ","
          79.10%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3101.33
        ","
          2978.60
        ","
          04/14 00:06:02
        ","
          04/15 03:01:40
        ","
          79.14%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3101.64
        ","
          2978.88
        ","
          04/14 00:05:58
        ","
          04/15 03:01:37
        ","
          79.14%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3085.14
        ","
          3054.28
        ","
          04/13 22:15:15
        ","
          04/14 21:52:01
        ","
          20.00%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (15X) 
            °µªÅ
          ","
          40587.25
        ","
          41107.48
        ","
          04/13 22:11:19
        ","
          04/13 23:40:59
        ","
          -19.22%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3044.31
        ","
          3037.63
        ","
          04/13 11:00:09
        ","
          04/13 18:29:48
        ","
          4.38%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3006.82
        ","
          3004.11
        ","
          04/12 14:44:29
        ","
          04/13 05:28:59
        ","
          1.79%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3009.39
        ","
          3004.03
        ","
          04/12 15:17:49
        ","
          04/13 05:28:56
        ","
          3.56%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            WAVES/USDT
            (10X) 
            °µ¦h
          ","
          22.6665
        ","
          22.5418
        ","
          04/12 11:53:54
        ","
          04/12 11:58:54
        ","
          -5.50%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3285.82
        ","
          3155.81
        ","
          04/08 23:20:16
        ","
          04/11 10:55:49
        ","
          79.13%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3285.82
        ","
          3155.81
        ","
          04/08 23:20:05
        ","
          04/11 10:55:48
        ","
          79.13%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3285.83
        ","
          3155.81
        ","
          04/08 23:20:19
        ","
          04/11 10:55:48
        ","
          79.13%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3285.82
        ","
          3155.81
        ","
          04/08 23:20:16
        ","
          04/11 10:55:48
        ","
          79.13%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3285.82
        ","
          3155.81
        ","
          04/08 23:20:17
        ","
          04/11 10:55:48
        ","
          79.13%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (20X) 
            °µªÅ
          ","
          3285.82
        ","
          3155.81
        ","
          04/08 23:20:05
        ","
          04/11 10:55:47
        ","
          79.13%
        ",Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
,,,,,,Chan Ting ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
¥æ©ö«~ºØ,¶}­Ü»ù,¥­­Ü»ù,¶}­Ü®É¶¡,¥­­Ü®É¶¡,¦¬¯q²v,Bored Ape ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
